Name,Country,Founded,Industry,Number_of_employees
"Bond, Snyder and Dixon",Saint Pierre and Miquelon,2018,Individual / Family Services,9271
"Galvan, Clarke and Murray",Eritrea,2005,Performing Arts,8788
"Jordan, Duffy and Guzman",Italy,1974,Hospital / Health Care,5201
Morrison-Ramos,Korea,1988,Consumer Services,1587
Good-Macias,Nigeria,2014,Dairy,3744
"Wade, Walls and Maynard",Uruguay,1997,Alternative Medicine,317
Sexton-Meza,Tonga,2021,Automotive,4820
Singh-Bartlett,Slovenia,1988,Wireless,866
Roth and Sons,Angola,1994,Computer Hardware,311
"Velazquez, Brewer and Mahoney",Haiti,2004,Performing Arts,3884
"Tucker, Hartman and Mathews",Oman,1982,Restaurants,9088
Patrick LLC,United States of America,1997,Facilities Services,7948
Hubbard-Clements,Slovenia,2015,Warehousing,1787
"Bradford, Joyce and Pennington",Niger,2010,Law Practice / Law Firms,4823
Marquez-Blankenship,American Samoa,1989,Warehousing,8562
"Aguirre, Hicks and Garrison",Nepal,1990,Library,4851
"Daniel, Mcintosh and Dickson",Netherlands,2002,Library,1201
"Frost, Hebert and Rojas",Sao Tome and Principe,2008,Plastics,2521
Bradford and Sons,Suriname,2010,Veterinary,622
Boyd LLC,American Samoa,1975,Luxury Goods / Jewelry,159
Cooke-Mcgee,Germany,2014,Music,3064
Mcconnell-Schroeder,Ecuador,2009,Primary / Secondary Education,4884
Sampson-Copeland,Bouvet Island (Bouvetoya),2015,Marketing / Advertising / Sales,3811
Livingston Ltd,Korea,1994,Hospitality,5395
"Barnett, Ho and Shah",Belgium,1983,Information Services,5971
Wise-Valenzuela,Guadeloupe,1991,Chemicals,3269
Shields LLC,Saudi Arabia,2005,Sports,1547
"Pennington, Hooper and Perkins",Saint Barthelemy,1984,Dairy,8560
Estrada-Leon,Cocos (Keeling) Islands,1984,Events Services,4218
Beard PLC,France,1974,Facilities Services,2987
Bates PLC,New Zealand,1984,Religious Institutions,674
Macdonald-Villegas,Nicaragua,2010,Animation,8501
"Mata, Benjamin and Sanchez",Western Sahara,1986,Business Supplies / Equipment,2814
"Rice, Norton and Stein",Cook Islands,2007,Transportation,6307
Mahoney-Lowe,Wallis and Futuna,2006,Logistics / Procurement,5763
Simmons Group,Sweden,1985,Entertainment / Movie Production,3416
"Holt, Morris and Delgado",Argentina,1999,Translation / Localization,7672
"Yates, Best and Zuniga",Trinidad and Tobago,2001,Food Production,1009
Byrd LLC,Palau,1981,Mental Health Care,6537
Barber LLC,Antarctica (the territory South of 60 deg S),1998,Insurance,1021
Potter-Solis,Kenya,1993,Entertainment / Movie Production,4209
Ramos-Kemp,Montserrat,1979,Ranching,699
Cisneros-Parks,Pakistan,1992,Printing,7884
Jenkins Inc,Zimbabwe,2019,Renewables / Environment,1864
"Cummings, Woodard and Wiley",Western Sahara,2006,Wine / Spirits,7436
Holloway-Ali,Russian Federation,2001,Library,648
Mclaughlin LLC,Estonia,1975,Ranching,5650
Macias-Chung,Palau,1985,Motion Pictures / Film,8958
Ramos Ltd,Gambia,2018,Computer / Network Security,9088
Weaver-Barnett,Belarus,1991,Business Supplies / Equipment,8600
Macdonald PLC,Rwanda,1971,Gambling / Casinos,9950
Coffey-Hooper,Eritrea,2007,Pharmaceuticals,2660
Ayers-Hernandez,India,1992,Higher Education / Acadamia,5982
Cline-Heath,Chad,2020,Computer Networking,6977
"Rivera, Russo and Romero",Nicaragua,1993,Package / Freight Delivery,8848
"Hardy, Ellis and Hopkins",Moldova,2009,Library,4990
Gray and Sons,China,1980,Packaging / Containers,8303
Hogan-Rodgers,Marshall Islands,1970,Glass / Ceramics / Concrete,5029
Baxter-Morgan,Saudi Arabia,2005,Paper / Forest Products,545
Frederick-Singh,Chile,1971,Fine Art,5687
"Harvey, Pennington and Richard",Hungary,2016,Computer Hardware,3894
"Arroyo, Garcia and Patterson",Denmark,2020,Wireless,9235
Lynch Ltd,Northern Mariana Islands,1983,Outsourcing / Offshoring,2369
Rios-Walsh,Thailand,1973,Renewables / Environment,3747
Sanford Inc,Sao Tome and Principe,1997,Professional Training,5994
Vasquez-Ochoa,Cuba,1983,Packaging / Containers,4878
"Bean, Hudson and Velasquez",Saint Barthelemy,2001,Writing / Editing,7395
Drake PLC,Mali,2009,Warehousing,4793
Weeks-Joseph,United Kingdom,1970,Mining / Metals,4528
Villegas-Liu,Malaysia,1991,Mental Health Care,9517
"Daniels, Whitney and Valenzuela",Russian Federation,1988,Human Resources / HR,6869
Lucero-Trevino,Iran,2018,Think Tanks,6403
Barnett-Randolph,Algeria,1998,Automotive,7518
"Diaz, Mercer and Yoder",Dominican Republic,2013,Medical Practice,4077
Mcmahon and Sons,British Virgin Islands,1997,Medical Practice,6029
Wiley and Sons,Antigua and Barbuda,1994,Transportation,6177
Salazar-Hanson,Andorra,1988,Biotechnology / Greentech,92
Tanner-Webster,Chad,2006,Pharmaceuticals,4176
"Parker, Cherry and Jimenez",Sierra Leone,2016,Oil / Energy / Solar / Greentech,4261
Briggs PLC,Swaziland,1991,Wine / Spirits,5245
"Stephenson, Ashley and Chung",Suriname,1974,Glass / Ceramics / Concrete,9716
Salazar Ltd,Cuba,1999,Information Services,2730
"Decker, Wang and Barajas",French Southern Territories,1981,Commercial Real Estate,871
Meza-Schneider,Monaco,2015,Religious Institutions,4631
Guzman LLC,Chad,1973,Banking / Mortgage,2251
Rollins-Meyer,Egypt,1996,Biotechnology / Greentech,7454
Copeland-Hobbs,Portugal,1991,Computer / Network Security,2174
Mcconnell-Sheppard,Cape Verde,1995,Primary / Secondary Education,9808
"Zhang, Sosa and Ayala",Palestinian Territory,1987,Military Industry,859
Morris Ltd,Tonga,2000,Outsourcing / Offshoring,1351
"Pierce, Gallegos and Knox",France,2016,Fine Art,6016
Daniels and Sons,Saint Vincent and the Grenadines,2014,Defense / Space,4354
"Hickman, Valentine and Krause",Northern Mariana Islands,1992,Furniture,56
Horton LLC,Puerto Rico,1984,Financial Services,9917
"Shah, Robbins and Nielsen",Grenada,2011,Airlines / Aviation,4522
Armstrong-Griffith,Kyrgyz Republic,2020,Plastics,8509
"Gutierrez, Vasquez and Austin",Ecuador,2009,Furniture,5052
"Sheppard, Gould and Boyd",Malawi,1971,Legal Services,6877
"Harrison, Banks and Bradford",Liechtenstein,1976,Events Services,2991
Dunlap-Fritz,Indonesia,1990,Textiles,8677
George Ltd,Niger,2015,Real Estate / Mortgage,7296
"Castaneda, Floyd and Mcdaniel",Nigeria,2011,Airlines / Aviation,6844
"Roberson, Fuller and Oneill",United Kingdom,1988,Government Administration,1501
"Stein, Gomez and Garrison",Saudi Arabia,1975,Food / Beverages,8793
Riddle-Griffith,Angola,1972,Fishery,1213
Snyder Group,Estonia,1998,Commercial Real Estate,1363
English Ltd,Marshall Islands,1970,Recreational Facilities / Services,1820
Ponce-Charles,Western Sahara,1987,Government Relations,3598
Solis-Cortez,Guinea-Bissau,1996,Facilities Services,9069
Dodson-Lam,Cyprus,1984,Judiciary,9440
"Joyce, Chambers and Monroe",Congo,2004,Animation,9684
Kidd PLC,Sweden,1998,Publishing Industry,434
Brock Inc,Martinique,1973,Fishery,8840
Jarvis LLC,Tunisia,1992,Renewables / Environment,9151
Garrison and Sons,Puerto Rico,1998,Package / Freight Delivery,8166
"Bird, Ferrell and Hughes",Bulgaria,2005,Cosmetics,6336
Barrett Inc,Greece,2015,Furniture,2624
"Manning, Mcpherson and Robertson",France,1979,Plastics,8644
"Dunn, Dillon and Blair",Belgium,2015,Printing,5962
Bright-Summers,Benin,2004,Writing / Editing,5406
Bradshaw-Navarro,Latvia,2003,Management Consulting,3113
"Frost, Orr and Odonnell",Sierra Leone,1998,Farming,1951
Chase-Chandler,Namibia,1991,Construction,117
Pineda-Vaughan,United States of America,1981,Sporting Goods,8635
Gross-Holloway,Hong Kong,2020,Plastics,8389
Mueller Group,Albania,1972,Graphic Design / Web Design,956
Torres-Preston,Sweden,1991,Warehousing,9540
"Horne, Hartman and Flowers",Lebanon,1970,Internet,1312
Franco-Valdez,Spain,2014,Entertainment / Movie Production,5674
"Cantrell, Cervantes and Foster",Tanzania,2007,Furniture,1915
"Estes, Poole and Henderson",Italy,1981,Consumer Goods,5842
Mccullough-Zavala,Kiribati,1993,Plastics,8897
Hess-Shelton,British Indian Ocean Territory (Chagos Archipelago),2014,Consumer Electronics,7188
Ware LLC,Cuba,1998,Real Estate / Mortgage,9941
Hopkins-Shelton,Mayotte,2009,Investment Banking / Venture,4109
Mcknight Group,Guam,1980,Performing Arts,2616
Jackson-Mueller,Suriname,1982,Financial Services,6715
Skinner Inc,Germany,1982,Mining / Metals,4738
Humphrey PLC,Saint Lucia,2009,Computer / Network Security,6285
"Bolton, Diaz and Kent",Bolivia,1999,Information Services,1053
"Mason, Young and Evans",Poland,1980,International Trade / Development,2586
"Harrell, Wagner and Snyder",Hungary,2018,Education Management,7679
Townsend-Welch,Solomon Islands,2018,Religious Institutions,5547
"Case, Avery and Zuniga",Monaco,1991,Entertainment / Movie Production,7671
Mayo-Lane,United States Virgin Islands,1979,Publishing Industry,361
Cardenas-Huffman,Saint Lucia,1982,Luxury Goods / Jewelry,6041
Wallace-Hines,Hungary,2015,Utilities,5573
Roach-Oneal,Montenegro,2008,Apparel / Fashion,2854
Parrish-Avila,Rwanda,1996,Railroad Manufacture,4626
Mckee Inc,Tanzania,1981,Package / Freight Delivery,7878
"Hahn, Cobb and Cline",Pitcairn Islands,2014,Judiciary,6646
"Haas, Oliver and Osborn",Mauritius,1987,Import / Export,6789
"Gaines, Gomez and Madden",Israel,2008,Oil / Energy / Solar / Greentech,1132
Blair LLC,Libyan Arab Jamahiriya,2006,Market Research,989
Gordon and Sons,Bulgaria,1970,Cosmetics,4815
"Cohen, Saunders and Curtis",Albania,1972,Other Industry,1999
Castro-Hill,Korea,1992,Alternative Medicine,4155
Roman Ltd,Mauritius,2019,Transportation,1888
Donovan-Christian,Denmark,1972,Broadcast Media,4544
Jacobson-Wang,Gibraltar,1972,Alternative Medicine,68
Garcia Group,Congo,1983,Real Estate / Mortgage,818
Everett-Duke,Romania,1999,Package / Freight Delivery,9578
"Matthews, Gilbert and Richardson",United Kingdom,1981,Graphic Design / Web Design,2273
Pena Inc,Poland,1990,International Affairs,2178
Simon-Cabrera,Papua New Guinea,2008,Design,5425
"Duran, Conrad and Potts",Sri Lanka,2009,Import / Export,8838
Bartlett and Sons,Macao,2020,Aviation / Aerospace,7529
Soto-Perry,Antigua and Barbuda,1992,Professional Training,7286
"Espinoza, Beasley and Jefferson",Togo,2013,Computer / Network Security,5315
Duncan Inc,Lithuania,2020,Photography,131
Harris-Clarke,Botswana,2016,Publishing Industry,6150
Wiley-Mcdaniel,Korea,1993,Furniture,7175
Powell Group,Kenya,2013,Chemicals,5802
Chase Inc,Saint Martin,2016,Financial Services,505
Livingston LLC,Gibraltar,1973,Machinery,4606
King-Howard,Barbados,1977,Education Management,321
"Park, Gross and Kirk",San Marino,1973,Aviation / Aerospace,1561
"Porter, Schaefer and Fields",Kazakhstan,2005,Graphic Design / Web Design,6742
Meadows-Macias,Costa Rica,2006,Transportation,904
Petty Group,Bouvet Island (Bouvetoya),1985,Marketing / Advertising / Sales,8830
Griffith-Reyes,Tokelau,1984,E - Learning,1020
"Mcclain, Tucker and Mills",Guyana,2020,Museums / Institutions,7429
Hardin-Mcdowell,Sri Lanka,1994,Motion Pictures / Film,386
Brennan LLC,Ghana,1996,Performing Arts,2037
Liu Inc,Holy See (Vatican City State),1986,Automotive,1905
Archer Ltd,Faroe Islands,1988,Electrical / Electronic Manufacturing,4319
Christian-Lynch,Nicaragua,1989,Wholesale,2252
Roth Inc,New Zealand,1997,Telecommunications,4427
"Webb, Curtis and Massey",Micronesia,1999,Recreational Facilities / Services,5722
"Coffey, Ali and Glover",Niger,2002,Legal Services,3362
Vaughn LLC,Botswana,1999,Food / Beverages,9751
"Leon, Kaufman and Richmond",American Samoa,1983,Printing,3321
"Byrd, Pace and Robles",Belgium,1974,Research Industry,3081
Gregory LLC,United States of America,1979,Textiles,1682
Novak-Gates,Svalbard & Jan Mayen Islands,1980,Translation / Localization,36
Beck-Vaughan,Cook Islands,2020,Publishing Industry,5082
"Wilkerson, Luna and Brewer",Cyprus,2009,Railroad Manufacture,3822
Murphy-Esparza,Bolivia,2012,Venture Capital / VC,6030
Miles Inc,Angola,1999,Dairy,3250
Griffin-Mahoney,United States Virgin Islands,1991,Mining / Metals,7637
"Parker, Garza and Mcintosh",American Samoa,1972,Glass / Ceramics / Concrete,7720
Mclean-Boyle,Niger,2017,Recreational Facilities / Services,8935
Bradley PLC,Eritrea,2004,Packaging / Containers,9343
Lowe-Harper,Western Sahara,1975,Aviation / Aerospace,4331
Riley-Hodge,Egypt,2000,Translation / Localization,9307
"Anderson, Swanson and Cummings",Lithuania,2002,Wholesale,6596
"Anderson, Snyder and Finley",Thailand,2016,Sporting Goods,8193
Ross and Sons,Peru,1992,Medical Equipment,5685
"Neal, Maxwell and Moore",Haiti,2006,Business Supplies / Equipment,8738
"Yates, Massey and Ortiz",Christmas Island,1995,Computer Hardware,6330
Sparks and Sons,Moldova,1983,Staffing / Recruiting,6733
"Curry, Villa and Bauer",Wallis and Futuna,1970,Motion Pictures / Film,6953
Mcconnell-Ballard,Somalia,1984,Ranching,6843
Rowe-Horton,Argentina,2007,Renewables / Environment,5422
Harmon-Arellano,Slovenia,1993,Sports,5411
Lawrence-Vaughan,Slovenia,1998,Ranching,2999
"Parsons, Bradshaw and Waller",French Southern Territories,2021,Philanthropy,275
"Phillips, Gomez and Rocha",Bangladesh,1981,Telecommunications,5299
"Ochoa, Hodges and Jacobson",India,2003,Alternative Dispute Resolution,8891
"Pham, Owens and Frost",Yemen,2007,Automotive,9158
Young Inc,Ukraine,2007,Maritime,5033
Caldwell-Burns,Sierra Leone,1988,Government Relations,3651
Hampton-Sheppard,Montserrat,2017,Leisure / Travel,4005
"Norman, Christian and Johnston",Kyrgyz Republic,2000,Graphic Design / Web Design,2685
Hobbs Group,Brunei Darussalam,1999,Logistics / Procurement,1145
"Hanson, Newman and Bradley",Algeria,2021,Individual / Family Services,2135
Winters-Mayo,Morocco,1971,Computer Networking,6429
Morrison-Cooley,Qatar,2018,Maritime,6425
Daugherty LLC,Taiwan,2012,Wholesale,1344
Dean LLC,Mauritania,2019,Library,5297
Herrera Ltd,Colombia,1987,Military Industry,4066
Hartman Ltd,Nigeria,1996,Supermarkets,404
Robles-Kane,Taiwan,2009,Mental Health Care,5835
"Williamson, Howe and Mckenzie",Wallis and Futuna,2007,Ranching,9419
"Carlson, Vargas and Carroll",Georgia,2018,Ranching,9503
Hardy Ltd,Saint Vincent and the Grenadines,2009,Executive Office,7638
Mcdaniel Inc,Sao Tome and Principe,1989,Primary / Secondary Education,4900
"Ortiz, Robbins and Burch",Namibia,1991,Transportation,9661
Preston Inc,Northern Mariana Islands,2015,Mental Health Care,7936
Hunt LLC,Congo,1972,Religious Institutions,6176
Turner-Brennan,Guyana,1972,Packaging / Containers,1852
Walker-Marshall,Niue,2017,Business Supplies / Equipment,8537
Bolton-Odom,Botswana,1979,Utilities,7241
Jackson Group,Austria,1984,E - Learning,8940
Key Inc,United States Virgin Islands,1974,Alternative Dispute Resolution,3195
Warner LLC,Malawi,1987,Glass / Ceramics / Concrete,2567
Evans-Hardin,Luxembourg,2002,Investment Management / Hedge Fund / Private Equity,5866
Meza-Carroll,Azerbaijan,1975,Packaging / Containers,8073
"Ferguson, Frost and Estrada",Sierra Leone,2001,Dairy,7383
"Villa, Levy and Mays",Barbados,1976,Packaging / Containers,4619
Chan-Coffey,Suriname,1986,Civic / Social Organization,1818
"Hopkins, Shea and Bishop",Bouvet Island (Bouvetoya),2014,Venture Capital / VC,1878
Blackwell-Carson,Japan,1974,Oil / Energy / Solar / Greentech,3389
"Huerta, Macdonald and Olson",Heard Island and McDonald Islands,2001,Primary / Secondary Education,6932
Harmon-Dillon,Niger,1975,Military Industry,9188
Bradshaw-Orozco,Burundi,1973,Information Technology / IT,3619
Clay-Bentley,Madagascar,1999,Venture Capital / VC,734
Ayala-Bradshaw,Central African Republic,2000,Library,5977
"Stevens, Nguyen and Williams",Turkey,1996,Telecommunications,2567
"Hebert, Willis and Bates",Namibia,1993,Mining / Metals,8012
"Lowery, Campbell and Cardenas",Sri Lanka,1999,Library,4494
Pruitt-Levy,Zambia,1998,Wholesale,5827
Neal-Nicholson,Central African Republic,2006,Wine / Spirits,5523
Lopez-Taylor,Bahrain,1973,Import / Export,4813
Nelson PLC,Zimbabwe,2000,Maritime,511
"Koch, Stephenson and Wilcox",Portugal,2016,Biotechnology / Greentech,3930
"Kim, Santana and Coleman",Libyan Arab Jamahiriya,2007,Arts / Crafts,3192
Middleton PLC,Benin,1994,Medical Practice,6412
Tanner-Hanna,Indonesia,2020,Alternative Dispute Resolution,5429
Simmons-Farmer,Togo,2007,Higher Education / Acadamia,8162
Salas-Zamora,Mali,2019,Facilities Services,8973
"Finley, Gibson and Stanton",Solomon Islands,2015,Music,4490
"House, Luna and Obrien",Saint Helena,1971,Tobacco,7071
"Henderson, Garrison and Melendez",Cocos (Keeling) Islands,2014,Publishing Industry,9686
Oconnell-Leonard,Malta,1998,Program Development,6499
Brady and Sons,Mauritius,2016,Shipbuilding,5711
"Huber, Ferrell and Eaton",New Caledonia,2004,Events Services,4978
Jensen Group,Peru,2013,Consumer Services,569
"Blevins, Compton and Peck",Korea,1996,Public Relations / PR,9178
Mann-Hobbs,Sri Lanka,1995,Packaging / Containers,7171
"Shaw, Yang and Morton",Cuba,1985,Gambling / Casinos,8841
Hale-Hurley,New Caledonia,1998,Fundraising,1151
Davis-Mclean,Ethiopia,1995,Security / Investigations,3427
"Pena, Davies and Perry",Uruguay,2018,Mechanical or Industrial Engineering,5067
Glover-Castaneda,Aruba,1990,Research Industry,6515
Conner-Murphy,Nicaragua,2021,Shipbuilding,3921
Graves LLC,Cambodia,2013,Plastics,7150
"Guerra, Drake and Rangel",Cambodia,2005,Warehousing,305
Ford PLC,Lithuania,1989,Think Tanks,3691
"Giles, Ingram and Figueroa",Kyrgyz Republic,1976,Railroad Manufacture,9719
"Simpson, Macdonald and Key",Jordan,1998,Import / Export,3289
Martinez-Boone,Ecuador,2004,International Affairs,6346
Wilkins LLC,Bouvet Island (Bouvetoya),1990,Sporting Goods,7349
Brooks-Riggs,Tunisia,1982,Maritime,1912
Fields-Townsend,Ethiopia,1994,Food Production,4635
Howard-Patton,Slovenia,1994,Legislative Office,1808
Park-Gomez,Georgia,1998,Luxury Goods / Jewelry,8228
Huerta-Stephens,Central African Republic,1994,Industrial Automation,2090
Holmes Ltd,Taiwan,1989,Telecommunications,7901
"Vazquez, Mendez and Morris",United Arab Emirates,1981,Fundraising,6978
Choi-Briggs,Saint Kitts and Nevis,2010,Computer Software / Engineering,1377
Page-Mcmahon,Burkina Faso,1995,Warehousing,3958
"Mcdonald, Williamson and Reese",Maldives,1972,Other Industry,9501
"Adkins, Sloan and Burton",Montenegro,1999,Computer / Network Security,2431
Boyle-Beard,Cyprus,1985,Political Organization,9283
"Flynn, Taylor and Herman",Guyana,1981,Luxury Goods / Jewelry,5050
"Hurst, Camacho and Gill",China,1981,Venture Capital / VC,802
Richards-Zimmerman,Fiji,2018,Public Safety,8249
Prince Ltd,Switzerland,1971,Hospitality,8500
Beltran Group,Grenada,1997,Program Development,7613
Camacho Ltd,Isle of Man,1982,Chemicals,8710
Wall-Mcconnell,Central African Republic,2006,Building Materials,4491
Vazquez LLC,Faroe Islands,1979,Oil / Energy / Solar / Greentech,3136
Powers-Francis,Guatemala,1988,Marketing / Advertising / Sales,8184
"Mullins, Bird and Kirk",United Kingdom,1993,Oil / Energy / Solar / Greentech,4804
"Romero, Austin and Gentry",Brunei Darussalam,1990,Railroad Manufacture,8213
Santos-Howard,Montenegro,2003,Machinery,4475
"Beck, James and Soto",Portugal,1992,Fishery,8712
King-Weaver,Sri Lanka,2019,Alternative Dispute Resolution,1888
"Gray, Khan and Poole",Saint Kitts and Nevis,2007,Financial Services,2913
Ochoa-Mason,Antarctica (the territory South of 60 deg S),2011,Biotechnology / Greentech,7205
Medina-Wells,Andorra,1986,Online Publishing,8575
Hood Ltd,Norway,2009,Plastics,7370
Briggs-Delacruz,Georgia,2006,Glass / Ceramics / Concrete,3098
Mitchell-Ponce,Trinidad and Tobago,2005,Media Production,4260
Guzman PLC,Antarctica (the territory South of 60 deg S),1987,Judiciary,481
Rosales Inc,Lebanon,1986,Staffing / Recruiting,4470
Ibarra-Klein,United States Minor Outlying Islands,1985,Oil / Energy / Solar / Greentech,8107
"Bentley, Blake and Mclean",Libyan Arab Jamahiriya,1971,Chemicals,3254
Richmond-Conley,Bolivia,1997,Political Organization,6412
"Wilkinson, Pope and Roach",Jamaica,2009,Fine Art,5959
Macias-Patton,Brazil,1990,Wholesale,6403
"Oliver, Flores and Pena",Austria,1994,Medical Equipment,2587
Malone and Sons,Fiji,2013,Program Development,4587
Mcknight-Brewer,South Georgia and the South Sandwich Islands,2012,Health / Fitness,604
"Tapia, Bush and Brandt",Liberia,1976,Banking / Mortgage,3378
"Wood, Stark and Jacobson",Congo,2006,Telecommunications,8056
"Cole, Wu and Cameron",Yemen,1992,Environmental Services,2491
Carney-Heath,Macao,2019,Publishing Industry,5563
Joseph-Stein,French Southern Territories,1990,Defense / Space,7825
Kent-Nolan,Indonesia,2007,Oil / Energy / Solar / Greentech,7161
Reed Group,Angola,1976,International Affairs,4531
"Willis, Davenport and Mueller",Philippines,2002,Chemicals,2443
"Meza, Morales and Booker",Slovenia,2014,Mining / Metals,6662
Valentine and Sons,Swaziland,1986,Legislative Office,2835
Dennis-Bridges,Antarctica (the territory South of 60 deg S),1991,Translation / Localization,648
"Atkinson, Good and Burns",Western Sahara,2005,Shipbuilding,1066
Price and Sons,Iceland,1989,Consumer Services,599
Berry and Sons,Svalbard & Jan Mayen Islands,1975,Government Administration,4045
"Mercado, Butler and Walsh",Peru,1998,Hospital / Health Care,8177
"Mckee, Lewis and Hays",French Guiana,2010,Airlines / Aviation,3583
"Avery, Owens and Suarez",Mongolia,2006,Commercial Real Estate,3366
Golden-Riddle,Lebanon,1982,Investment Banking / Venture,4864
"Gallegos, Barrera and Camacho",Uruguay,1991,Capital Markets / Hedge Fund / Private Equity,9146
"Irwin, Contreras and Mann",Singapore,1989,Market Research,1191
Hickman Inc,Saint Lucia,2008,Architecture / Planning,5760
Norman-Ford,Ethiopia,2018,Financial Services,3382
"Estes, Gilbert and Blevins",Vanuatu,1994,Apparel / Fashion,5565
"Mejia, Woods and Austin",Tuvalu,2010,Alternative Dispute Resolution,1987
Bryan Group,New Zealand,2021,Banking / Mortgage,3079
Suarez-Flynn,Mauritius,1998,Legal Services,9600
"Calhoun, Becker and Madden",Saint Helena,1983,Civic / Social Organization,8073
Wells Group,Marshall Islands,2021,Maritime,1464
Lopez PLC,Tonga,1995,E - Learning,444
Valencia Group,Seychelles,1999,Higher Education / Acadamia,499
"Mcpherson, Davila and Richard",Reunion,1975,E - Learning,8856
"Mcdonald, Jacobson and Fischer",Czech Republic,1975,Outsourcing / Offshoring,6572
Herring-Blake,Falkland Islands (Malvinas),2002,Internet,2268
"Horne, Cherry and Santana",Azerbaijan,1981,Financial Services,7298
Mays-Beasley,Montenegro,1972,Publishing Industry,7397
Stuart Ltd,Azerbaijan,2021,Luxury Goods / Jewelry,6472
Montes Inc,Russian Federation,2014,Railroad Manufacture,5365
"Scott, Simpson and Burch",Dominica,1979,Furniture,4408
"Ellis, Ewing and Steele",Taiwan,1994,Mental Health Care,4111
"Rios, Huerta and Levy",United Kingdom,2010,Glass / Ceramics / Concrete,5011
Holland Ltd,British Virgin Islands,1995,Plastics,5096
Cowan-Sanford,Switzerland,2016,Shipbuilding,5200
Whitehead and Sons,Bolivia,2005,Oil / Energy / Solar / Greentech,338
"Espinoza, Stephens and Spencer",Central African Republic,2002,Glass / Ceramics / Concrete,3784
"Kane, Baldwin and Clayton",Syrian Arab Republic,1980,Library,9592
Lowe LLC,American Samoa,1971,Political Organization,7249
Malone Group,Sweden,2011,Business Supplies / Equipment,9386
"Contreras, Bryant and Eaton",Saint Helena,1992,Logistics / Procurement,5196
Terrell Inc,China,1983,Food / Beverages,7961
"Good, Mcconnell and Ballard",Bahamas,1991,Information Technology / IT,4089
"Chang, Solis and Beasley",Liechtenstein,2011,Staffing / Recruiting,3267
"Yates, Hines and Cohen",Hungary,2002,Computer / Network Security,6926
"Flowers, Poole and Rose",Seychelles,1994,Wholesale,7678
Greer LLC,Macedonia,2010,Think Tanks,9656
Vargas Ltd,Dominica,1989,Human Resources / HR,3162
"Ali, Thomas and Steele",Lithuania,1996,Gambling / Casinos,6541
"Patterson, Reid and Randolph",Saint Helena,2018,Internet,3434
Calhoun and Sons,Jordan,1999,Government Administration,5723
"Riddle, Woodard and Lara",Saint Kitts and Nevis,1975,Information Technology / IT,7338
Cook-Dunn,Gibraltar,2009,Marketing / Advertising / Sales,6176
Walker Group,Palau,2000,Civic / Social Organization,9952
Moon-Stein,United States Virgin Islands,2007,Individual / Family Services,5477
Graham-Hudson,Martinique,1988,Ranching,9392
"Payne, Blevins and Bonilla",Ireland,2012,Alternative Medicine,7649
Fisher PLC,Monaco,2007,Research Industry,2983
"Sanchez, Pugh and Decker",Chile,2022,Alternative Dispute Resolution,8917
Mcbride PLC,Guernsey,1986,Machinery,9376
Parrish Group,Heard Island and McDonald Islands,1988,Defense / Space,4308
"Mercer, Bush and Moore",Mali,2002,Writing / Editing,9852
Padilla and Sons,Malaysia,1998,Media Production,7222
Huerta-Gates,Mongolia,2001,Market Research,2142
Wong Inc,Zimbabwe,1976,Performing Arts,2168
"Meadows, Howard and York",Honduras,1997,Computer Games,6597
Hayes-Larsen,Ecuador,2005,Food / Beverages,5540
Herrera Ltd,United States Minor Outlying Islands,1981,Consumer Electronics,5244
Holmes-Wise,Holy See (Vatican City State),2001,Mental Health Care,5662
"Glover, Roach and Alexander",Gambia,1971,Apparel / Fashion,8383
Mooney and Sons,Saint Lucia,2004,Renewables / Environment,488
Hurley Group,Christmas Island,1987,Staffing / Recruiting,9469
May-Baird,Qatar,2009,Government Administration,8399
Santana Group,Heard Island and McDonald Islands,2022,Fishery,8873
Dixon Ltd,Jordan,2018,Philanthropy,1397
Beard-Hoffman,Turkmenistan,2004,Computer Games,5485
Murray-Meadows,British Indian Ocean Territory (Chagos Archipelago),1996,International Trade / Development,9655
"Perry, Doyle and Arias",Saint Lucia,1987,Oil / Energy / Solar / Greentech,9052
Tyler-Holland,Madagascar,1970,Banking / Mortgage,6020
Romero LLC,United Kingdom,1990,Investment Management / Hedge Fund / Private Equity,6827
"Adkins, Stewart and Lara",Cuba,1988,Renewables / Environment,1715
Drake PLC,Maldives,1972,Museums / Institutions,6654
"Short, Stark and Anthony",Syrian Arab Republic,1978,Religious Institutions,811
Lara Inc,Slovenia,2001,Motion Pictures / Film,2186
Mejia Inc,Cote d'Ivoire,1972,Luxury Goods / Jewelry,7578
"Daniels, Hester and Spence",Latvia,1980,Fishery,6822
Page-Estrada,Thailand,2003,Apparel / Fashion,2633
Walls-Golden,Saint Pierre and Miquelon,2009,Architecture / Planning,5237
Rogers Inc,British Virgin Islands,1979,Hospitality,886
Patrick-Frank,Zambia,2010,Events Services,4585
Stewart Group,Isle of Man,2016,Media Production,6085
"Rubio, Mcintosh and Lewis",Guernsey,2009,Ranching,2882
Moon-Brewer,South Africa,1983,Furniture,226
"Charles, Velazquez and Woods",Korea,2010,Cosmetics,6922
"Kramer, Meyers and Mckinney",Gambia,1978,Renewables / Environment,2101
Alvarado Ltd,Papua New Guinea,2003,Graphic Design / Web Design,2386
